uniprot_id,protein_name,organism,organism_id,gene_name,length,function
A0A1V0QSG0,TS5FN_CANSA Myrcene synthase TPS5FN,Cannabis sativa,3483,TPS5FN,573,
A0A1V0QSH2,TS2FN_CANSA (+)-alpha-pinene synthase TPS2FN,Cannabis sativa,3483,TPS2FN,561,
A0A386KZ50,DABA_PSEMU Magnesium-dependent glutamate N-prenyltransferase,Pseudo-nitzschia multiseries,37319,dabA,482,
A0A8H8CMW1,CUBA_PSICU Cubebol synthase cubA,Psilocybe cubensis,181762,cubA,343,
A2PZA5,FC1_PHOAM Fusicoccadiene synthase,Phomopsis amygdali,1214568,PaFS,719,
F8JK18,CYS_STREN Cattleyene synthase,Streptantibioticus cattleyicolor (strain ATCC 35852 / DSM 46488 / JCM 4925 / NBRC 14057 / NRRL 8057),1003195,SCATT_p16530,367,
Q03471,PRX2_PENRO Aristolochene synthase,Penicillium roqueforti,5082,prx2,342,
Q0JA81,"KSL2_ORYSJ Ent-beyerene synthase KSL2, chloroplastic",Oryza sativa subsp. japonica,39947,KSL2,819,
T1RRL8,"PINS_LAVST Alpha pinene synthase, chloroplastic",Lavandula stoechas,39333,PINS,600,
A0A0U5G0B1,OBLA_ASPCI Ophiobolin F synthase,Aspergillus calidoustus,454130,AcldOS,725,
A0A1L7VFX3,FUP1_FUSPR Bifunctional terpene synthase FUP1,Fusarium proliferatum (strain ET1),1227346,FUP1,753,
A0A1L9WQI2,VRCA_ASPA1 Bifunctional sesterterpene synthase,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094),690307,vrcA,710,
A0A1V0QSF4,"T33PK_CANSA Alpha-terpinene synthase TPS33PK, chloroplastic",Cannabis sativa,3483,TPS33PK,615,
A0A1V0QSF9,"TS1FN_CANSA (-)-limonene synthase TPS1FN, chloroplastic",Cannabis sativa,3483,TPS1FN,624,
A0A4Y5QZ62,T19BL_CANSA (E)-nerolidol synthase TPS18VF,Cannabis sativa,3483,TPS19BL,554,
A0A8H4CUY8,CGCS_COLGL Colleterpenol synthase,Colletotrichum gloeosporioides,474922,GCG54_00000376,760,
B9SIL7,"KSL3_RICCO Ent-sandaracopimaradiene synthase KSL3, chloroplastic",Ricinus communis,3988,KSL3,778,
B9SIM2,"KSL2_RICCO Ent-trachylobane synthase KSL2, chloroplastic",Ricinus communis,3988,KSL2,778,
B9SIM3,"KSL4_RICCO Ent-beyerene synthase KSL4, chloroplastic",Ricinus communis,3988,KSL4,774,
P0DI76,"CIN1_ARATH 1,8-cineole synthase 1, chloroplastic",Arabidopsis thaliana,3702,TPS27,600,
P9WER6,FOFS_FUSOX Fusoxypene synthase,Fusarium oxysporum,5507,,716,
Q0CRW6,STTA_ASPTN Preaspterpenacid I synthase sttA,Aspergillus terreus (strain NIH 2624 / FGSC A1156),341663,sttA,773,
Q54YE2,TPS9_DICDI Terpene synthase 9,Dictyostelium discoideum,44689,TPS9,339,
